dry_kg,prop_kg,wet_kg,prop_dry_ratio,n_engines,engine,propellant,prop_offset,capability_kms,bound_kms,bound_margin_kms,bound_vinf_kms,window_days,provably_infeasible
650.0,300.0,950.0,0.4615,1,nstar,xenon,-350.0,11.6371989772,4.90524170827,6.73195726895,3.3,1370,False
700.0,300.0,1000.0,0.4286,1,nstar,xenon,-400.0,10.937577882,4.90524170827,6.03233617371,3.3,1370,False
750.0,300.0,1050.0,0.4,1,nstar,xenon,-450.0,10.3180538911,4.90524170827,5.41281218284,3.3,1370,False
800.0,300.0,1100.0,0.375,1,nstar,xenon,-500.0,9.76550931067,4.90524170827,4.8602676024,3.3,1370,False
850.0,300.0,1150.0,0.3529,1,nstar,xenon,-550.0,9.2695622009,4.90524170827,4.36432049264,3.3,1370,False
650.0,350.0,1000.0,0.5385,1,nstar,xenon,-300.0,13.2101280874,4.90524170827,8.30488637911,3.3,1370,False
700.0,350.0,1050.0,0.5,1,nstar,xenon,-350.0,12.4337475164,4.90524170827,7.52850580813,3.3,1370,False
750.0,350.0,1100.0,0.4667,1,nstar,xenon,-400.0,11.744608525,4.90524170827,6.83936681676,3.3,1370,False
800.0,350.0,1150.0,0.4375,1,nstar,xenon,-450.0,11.1286401483,4.90524170827,6.22339844008,3.3,1370,False
850.0,350.0,1200.0,0.4118,1,nstar,xenon,-500.0,10.5746695689,4.90524170827,5.66942786068,3.3,1370,False
650.0,400.0,1050.0,0.6154,1,nstar,xenon,-250.0,14.7062977218,4.90524170827,9.80105601352,3.3,1370,False
700.0,400.0,1100.0,0.5714,1,nstar,xenon,-300.0,13.8603021503,4.90524170827,8.95506044205,3.3,1370,False
750.0,400.0,1150.0,0.5333,1,nstar,xenon,-350.0,13.1077393627,4.90524170827,8.20249765444,3.3,1370,False
800.0,400.0,1200.0,0.5,1,nstar,xenon,-400.0,12.4337475164,4.90524170827,7.52850580813,3.3,1370,False
850.0,400.0,1250.0,0.4706,1,nstar,xenon,-450.0,11.8264921372,4.90524170827,6.92125042897,3.3,1370,False
650.0,450.0,1100.0,0.6923,1,nstar,xenon,-200.0,16.1328523557,4.90524170827,11.2276106474,3.3,1370,False
700.0,450.0,1150.0,0.6429,1,nstar,xenon,-250.0,15.223432988,4.90524170827,10.3181912797,3.3,1370,False
750.0,450.0,1200.0,0.6,1,nstar,xenon,-300.0,14.4128467308,4.90524170827,9.50760502249,3.3,1370,False
800.0,450.0,1250.0,0.5625,1,nstar,xenon,-350.0,13.6855700847,4.90524170827,8.78032837641,3.3,1370,False
850.0,450.0,1300.0,0.5294,1,nstar,xenon,-400.0,13.0292107806,4.90524170827,8.12396907234,3.3,1370,False
650.0,500.0,1150.0,0.7692,1,nstar,xenon,-150.0,17.4959831934,4.90524170827,12.5907414851,3.3,1370,False
700.0,500.0,1200.0,0.7143,1,nstar,xenon,-200.0,16.528540356,4.90524170827,11.6232986478,3.3,1370,False
750.0,500.0,1250.0,0.6667,1,nstar,xenon,-250.0,15.664669299,4.90524170827,10.7594275908,3.3,1370,False
800.0,500.0,1300.0,0.625,1,nstar,xenon,-300.0,14.8882887281,4.90524170827,9.98304701979,3.3,1370,False
850.0,500.0,1350.0,0.5882,1,nstar,xenon,-350.0,14.1865328286,4.90524170827,9.28129112038,3.3,1370,False
650.0,300.0,950.0,0.4615,2,nstar,xenon,-350.0,11.6371989772,4.90524170827,6.73195726895,3.3,1370,False
700.0,300.0,1000.0,0.4286,2,nstar,xenon,-400.0,10.937577882,4.90524170827,6.03233617371,3.3,1370,False
750.0,300.0,1050.0,0.4,2,nstar,xenon,-450.0,10.3180538911,4.90524170827,5.41281218284,3.3,1370,False
800.0,300.0,1100.0,0.375,2,nstar,xenon,-500.0,9.76550931067,4.90524170827,4.8602676024,3.3,1370,False
850.0,300.0,1150.0,0.3529,2,nstar,xenon,-550.0,9.2695622009,4.90524170827,4.36432049264,3.3,1370,False
650.0,350.0,1000.0,0.5385,2,nstar,xenon,-300.0,13.2101280874,4.90524170827,8.30488637911,3.3,1370,False
700.0,350.0,1050.0,0.5,2,nstar,xenon,-350.0,12.4337475164,4.90524170827,7.52850580813,3.3,1370,False
750.0,350.0,1100.0,0.4667,2,nstar,xenon,-400.0,11.744608525,4.90524170827,6.83936681676,3.3,1370,False
800.0,350.0,1150.0,0.4375,2,nstar,xenon,-450.0,11.1286401483,4.90524170827,6.22339844008,3.3,1370,False
850.0,350.0,1200.0,0.4118,2,nstar,xenon,-500.0,10.5746695689,4.90524170827,5.66942786068,3.3,1370,False
650.0,400.0,1050.0,0.6154,2,nstar,xenon,-250.0,14.7062977218,4.90524170827,9.80105601352,3.3,1370,False
700.0,400.0,1100.0,0.5714,2,nstar,xenon,-300.0,13.8603021503,4.90524170827,8.95506044205,3.3,1370,False
750.0,400.0,1150.0,0.5333,2,nstar,xenon,-350.0,13.1077393627,4.90524170827,8.20249765444,3.3,1370,False
800.0,400.0,1200.0,0.5,2,nstar,xenon,-400.0,12.4337475164,4.90524170827,7.52850580813,3.3,1370,False
