dry_kg,prop_kg,n_engines,vinf_kms,converged,success,mismatch,escape_dv_kms,cruise_dv_kms,total_dv_kms,margin_kms,prop_needed_kg,prop_margin_kg,tof_days,dep_date,arr_date,error
800.0,300.0,1,3.3,True,True,8.13577084314e-06,0.0,6.68133917744,6.68133917744,3.08417013323,215.354796224,84.6452037759,1368.01557205,2007-10-08,2011-07-07,
850.0,300.0,1,3.3,True,True,7.49375711966e-05,0.0,7.10419674999,7.10419674999,2.16536545091,237.508741237,62.4912587632,1367.68753374,2007-10-11,2011-07-10,
700.0,400.0,1,3.3,True,True,8.13577084314e-06,0.0,6.68133917744,6.68133917744,7.17896297287,215.354796224,184.645203776,1368.01557205,2007-10-08,2011-07-07,
850.0,350.0,1,3.3,True,True,7.51574470758e-05,0.0,7.14613710005,7.14613710005,3.4285324689,248.626530358,101.373469642,1360.00445707,2007-10-08,2011-06-29,
750.0,350.0,1,3.3,True,True,8.13577084314e-06,0.0,6.68133917744,6.68133917744,5.06326934758,215.354796224,134.645203776,1368.01557205,2007-10-08,2011-07-07,
850.0,400.0,1,3.3,True,True,7.77885226136e-05,0.0,6.99508460305,6.99508460305,4.83140753418,254.439374708,145.560625292,1369.63441659,2007-10-05,2011-07-06,
800.0,350.0,1,3.3,True,True,7.49375711966e-05,0.0,7.10419674999,7.10419674999,4.02444339836,237.508741237,112.491258763,1367.68753374,2007-10-11,2011-07-10,
650.0,450.0,1,3.3,True,True,8.13577084314e-06,0.0,6.68133917744,6.68133917744,9.45151317826,215.354796224,234.645203776,1368.01557205,2007-10-08,2011-07-07,
850.0,450.0,1,3.3,True,True,8.88745804715e-05,0.0,6.78144269417,6.78144269417,6.24776808644,257.213546932,192.786453068,1368.99496236,2007-10-14,2011-07-14,
800.0,400.0,1,3.3,True,True,7.51574470758e-05,0.0,7.14613710005,7.14613710005,5.28761041634,248.626530358,151.373469642,1360.00445707,2007-10-08,2011-06-29,
700.0,500.0,1,3.3,True,True,7.51574470758e-05,0.0,7.14613710005,7.14613710005,9.38240325598,248.626530358,251.373469642,1360.00445707,2007-10-08,2011-06-29,
800.0,450.0,1,3.3,True,True,7.77885226136e-05,0.0,6.99508460305,6.99508460305,6.69048548163,254.439374708,195.560625292,1369.63441659,2007-10-05,2011-07-06,
750.0,450.0,1,3.3,True,True,7.51574470758e-05,0.0,7.14613710005,7.14613710005,7.2667096307,248.626530358,201.373469642,1360.00445707,2007-10-08,2011-06-29,
650.0,500.0,1,3.3,True,True,7.49375711966e-05,0.0,7.10419674999,7.10419674999,10.3917864434,237.508741237,262.491258763,1367.68753374,2007-10-11,2011-07-10,
700.0,450.0,1,3.3,True,True,7.49375711966e-05,0.0,7.10419674999,7.10419674999,8.119236238,237.508741237,212.491258763,1367.68753374,2007-10-11,2011-07-10,
750.0,400.0,1,3.3,True,True,7.49375711966e-05,0.0,7.10419674999,7.10419674999,6.00354261271,237.508741237,162.491258763,1367.68753374,2007-10-11,2011-07-10,
750.0,500.0,1,3.3,True,True,7.77885226136e-05,0.0,6.99508460305,6.99508460305,8.66958469598,254.439374708,245.560625292,1369.63441659,2007-10-05,2011-07-06,
650.0,400.0,1,3.3,True,True,9.27995300511e-05,0.0,6.75936758839,6.75936758839,7.9469301334,207.308987916,192.691012084,1368.00449376,2007-10-13,2011-07-12,
750.0,300.0,1,3.3,True,True,9.27995300511e-05,0.0,6.75936758839,6.75936758839,3.55868630272,207.308987916,92.6910120843,1368.00449376,2007-10-13,2011-07-12,
700.0,350.0,1,3.3,True,True,9.27995300511e-05,0.0,6.75936758839,6.75936758839,5.674379928,207.308987916,142.691012084,1368.00449376,2007-10-13,2011-07-12,
650.0,300.0,1,3.3,True,True,9.08082561778e-05,0.0,6.52805111756,6.52805111756,5.10914785965,181.491913054,118.508086946,1332.97070728,2007-10-08,2011-06-02,
700.0,300.0,1,3.3,True,True,1.24062503877e-05,0.0,6.57733404386,6.57733404386,4.36024383812,192.162263915,107.837736085,1305.85761657,2007-10-15,2011-05-12,
650.0,350.0,1,3.3,True,True,1.24062503877e-05,0.0,6.57733404386,6.57733404386,6.63279404351,192.162263915,157.837736085,1305.85761657,2007-10-15,2011-05-12,
850.0,500.0,1,3.3,True,True,2.81939241289e-05,0.0,6.71321023997,6.71321023997,7.47332258868,264.871116728,235.128883272,1369.38718736,2007-10-14,2011-07-15,
800.0,500.0,1,3.3,True,True,8.88745804715e-05,0.0,6.78144269417,6.78144269417,8.10684603388,257.213546932,242.786453068,1368.99496236,2007-10-14,2011-07-14,
850.0,400.0,2,3.3,True,True,7.79960989028e-05,0.0,7.29412619412,7.29412619412,4.53236594312,267.466458441,132.533541559,1344.38045537,2007-10-15,2011-06-20,
800.0,450.0,2,3.3,True,True,7.79960989028e-05,0.0,7.29412619412,7.29412619412,6.39144389056,267.466458441,182.533541559,1344.38045537,2007-10-15,2011-06-20,
800.0,300.0,2,3.3,True,True,6.76888056474e-06,0.0,7.57352623475,7.57352623475,2.19198307592,244.037969684,55.962030316,1371.84153117,2007-10-13,2011-07-15,
850.0,350.0,2,3.3,True,True,4.99200367676e-05,0.0,6.87176320763,6.87176320763,3.70290636132,242.923690044,107.076309956,1322.12474239,2007-10-15,2011-05-29,
800.0,350.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,3.94554685919,242.823440945,107.176559055,1323.48392231,2007-10-15,2011-05-30,
750.0,450.0,2,3.3,True,True,4.99200367676e-05,0.0,6.87176320763,6.87176320763,7.54108352312,242.923690044,207.076309956,1322.12474239,2007-10-15,2011-05-29,
850.0,300.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,2.08646891174,242.823440945,57.1765590554,1323.48392231,2007-10-15,2011-05-30,
850.0,450.0,2,3.3,True,True,6.30992064977e-05,0.0,8.00784222387,8.00784222387,5.02136855674,301.910897272,148.089102728,1369.28058985,2007-10-15,2011-07-15,
800.0,400.0,2,3.3,True,True,4.99200367676e-05,0.0,6.87176320763,6.87176320763,5.56198430877,242.923690044,157.076309956,1322.12474239,2007-10-15,2011-05-29,
700.0,450.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,8.04033969883,242.823440945,207.176559055,1323.48392231,2007-10-15,2011-05-30,
750.0,350.0,2,3.3,True,True,6.76888056474e-06,0.0,7.57352623475,7.57352623475,4.17108229028,244.037969684,105.962030316,1371.84153117,2007-10-13,2011-07-15,
